01/02/2000	Arizona        	24	Green Bay      	49	1
01/02/2000	Cincinnati     	7	Jacksonville   	24	1
01/02/2000	Detroit        	17	Minnesota      	24	1
01/02/2000	Baltimore      	3	New England    	20	1
01/02/2000	Seattle        	9	NY Jets        	19	1
01/02/2000	Oakland        	41	Kansas City    	38	1
01/02/2000	St Louis       	31	Philadelphia   	38	1
01/02/2000	San Diego      	12	Denver         	6	1
01/02/2000	Tampa Bay      	20	Chicago        	6	1
01/02/2000	Tennessee      	47	Pittsburgh     	36	1
01/02/2000	Miami          	10	Washington     	21	1
01/03/2000	San Francisco  	29	Atlanta        	34	1
01/08/2000	Buffalo        	16	Tennessee      	22	1
01/08/2000	Detroit        	13	Washington     	27	1
01/09/2000	Miami          	20	Seattle        	17	1
01/09/2000	Dallas         	10	Minnesota      	27	1
01/15/2000	Miami          	7	Jacksonville   	62	1
01/15/2000	Washington     	13	Tampa Bay      	14	1
01/16/2000	Minnesota      	37	St Louis       	49	1
01/16/2000	Tennessee      	19	Indianapolis   	16	1
01/23/2000	Tennessee      	33	Jacksonville   	14	1
01/23/2000	Tampa Bay      	6	St Louis       	11	1
01/30/2000	St Louis		23	Tennessee		16	0

